"issue.date","song","artist","year"
"April 21","""Good Luck Charm""","Elvis Presley",1962
"April 28","""Good Luck Charm""","Elvis Presley",1962
"May 5","""Soldier Boy""","The Shirelles",1962
"May 12","""Soldier Boy""","The Shirelles",1962
"May 19","""Soldier Boy""","The Shirelles",1962
"May 26","""Stranger on the Shore""","Mr. Acker Bilk",1962
"June 2","""I Can't Stop Loving You""","Ray Charles",1962
"June 9","""I Can't Stop Loving You""","Ray Charles",1962
"June 16","""I Can't Stop Loving You""","Ray Charles",1962
"June 23","""I Can't Stop Loving You""","Ray Charles",1962
"June 30","""I Can't Stop Loving You""","Ray Charles",1962
"July 7","""The Stripper""","David Rose",1962
"July 14","""Roses Are Red (My Love)""","Bobby Vinton",1962
"July 21","""Roses Are Red (My Love)""","Bobby Vinton",1962
"July 28","""Roses Are Red (My Love)""","Bobby Vinton",1962
"August 4","""Roses Are Red (My Love)""","Bobby Vinton",1962
"August 11","""Breaking Up Is Hard to Do""","Neil Sedaka",1962
"August 18","""Breaking Up Is Hard to Do""","Neil Sedaka",1962
"August 25","""The Loco-Motion""","Little Eva",1962
"September 1","""Sheila""","Tommy Roe",1962
"September 8","""Sheila""","Tommy Roe",1962
"September 15","""Sherry""","The Four Seasons",1962
"September 22","""Sherry""","The Four Seasons",1962
"September 29","""Sherry""","The Four Seasons",1962
"October 6","""Sherry""","The Four Seasons",1962
"October 13","""Sherry""","The Four Seasons",1962
"October 20","""Monster Mash""","Bobby 'Boris' Pickett & the Crypt-Kickers",1962
"October 27","""Monster Mash""","Bobby 'Boris' Pickett & the Crypt-Kickers",1962
"November 3","""He's a Rebel""","The Crystals",1962
"November 10","""He's a Rebel""","The Crystals",1962
"November 17","""Big Girls Don't Cry""","The Four Seasons",1962
"November 24","""Big Girls Don't Cry""","The Four Seasons",1962
"December 1","""Big Girls Don't Cry""","The Four Seasons",1962
"December 8","""Big Girls Don't Cry""","The Four Seasons",1962
"December 15","""Big Girls Don't Cry""","The Four Seasons",1962
"December 22","""Telstar""","The Tornados",1962
"December 29","""Telstar""","The Tornados",1962
"January 5","""Telstar""","The Tornados",1963
"January 12","""Go Away Little Girl""","Steve Lawrence",1963
"January 19","""Go Away Little Girl""","Steve Lawrence",1963
"January 26","""Walk Right In""","The Rooftop Singers",1963
"February 2","""Walk Right In""","The Rooftop Singers",1963
"February 9","""Hey Paula""","Paul & Paula",1963
"February 16","""Hey Paula""","Paul & Paula",1963
"February 23","""Hey Paula""","Paul & Paula",1963
"March 2","""Walk Like a Man""","The Four Seasons",1963
