"issue.date","song","artist","year"
"July 23","""Every Breath You Take""","The Police",1983
"July 30","""Every Breath You Take""","The Police",1983
"August 6","""Every Breath You Take""","The Police",1983
"August 13","""Every Breath You Take""","The Police",1983
"August 20","""Every Breath You Take""","The Police",1983
"August 27","""Every Breath You Take""","The Police",1983
"September 3","""Sweet Dreams (Are Made of This)""","Eurythmics",1983
"September 10","""Maniac""","Michael Sembello",1983
"September 17","""Maniac""","Michael Sembello",1983
"September 24","""Tell Her About It""","Billy Joel",1983
"October 1","""Total Eclipse of the Heart""","Bonnie Tyler",1983
"October 8","""Total Eclipse of the Heart""","Bonnie Tyler",1983
"October 15","""Total Eclipse of the Heart""","Bonnie Tyler",1983
"October 22","""Total Eclipse of the Heart""","Bonnie Tyler",1983
"October 29","""Islands in the Stream""","Kenny Rogers and Dolly Parton",1983
"November 5","""Islands in the Stream""","Kenny Rogers and Dolly Parton",1983
"November 12","""All Night Long (All Night)""","Lionel Richie",1983
"November 19","""All Night Long (All Night)""","Lionel Richie",1983
"November 26","""All Night Long (All Night)""","Lionel Richie",1983
"December 3","""All Night Long (All Night)""","Lionel Richie",1983
"December 10","""Say Say Say""","Paul McCartney and Michael Jackson",1983
"December 17","""Say Say Say""","Paul McCartney and Michael Jackson",1983
"December 24","""Say Say Say""","Paul McCartney and Michael Jackson",1983
"December 31","""Say Say Say""","Paul McCartney and Michael Jackson",1983
"January 7","""Say Say Say""","Paul McCartney and Michael Jackson",1984
"January 14","""Say Say Say""","Paul McCartney and Michael Jackson",1984
"January 21","""Owner of a Lonely Heart""","Yes",1984
"January 28","""Owner of a Lonely Heart""","Yes",1984
"February 4","""Karma Chameleon""","Culture Club",1984
"February 11","""Karma Chameleon""","Culture Club",1984
"February 18","""Karma Chameleon""","Culture Club",1984
"February 25","""Jump""","Van Halen",1984
"March 3","""Jump""","Van Halen",1984
"March 10","""Jump""","Van Halen",1984
"March 17","""Jump""","Van Halen",1984
"March 24","""Jump""","Van Halen",1984
"March 31","""Footloose""","Kenny Loggins",1984
"April 7","""Footloose""","Kenny Loggins",1984
"April 14","""Footloose""","Kenny Loggins",1984
"April 21","""Against All Odds (Take a Look at Me Now)""","Phil Collins",1984
"April 28","""Against All Odds (Take a Look at Me Now)""","Phil Collins",1984
"May 5","""Against All Odds (Take a Look at Me Now)""","Phil Collins",1984
"May 12","""Hello""","Lionel Richie",1984
"May 19","""Hello""","Lionel Richie",1984
"May 26","""Let's Hear It for the Boy""","Deniece Williams",1984
"June 2","""Let's Hear It for the Boy""","Deniece Williams",1984
"June 9","""Time After Time""","Cyndi Lauper",1984
"June 16","""Time After Time""","Cyndi Lauper",1984
"June 23","""The Reflex""","Duran Duran",1984
"June 30","""The Reflex""","Duran Duran",1984
"July 7","""When Doves Cry""","Prince",1984
"July 14","""When Doves Cry""","Prince",1984
"July 21","""When Doves Cry""","Prince",1984
"July 28","""When Doves Cry""","Prince",1984
"August 4","""When Doves Cry""","Prince",1984
"August 11","""Ghostbusters""","Ray Parker, Jr.",1984
"August 18","""Ghostbusters""","Ray Parker, Jr.",1984
"August 25","""Ghostbusters""","Ray Parker, Jr.",1984
"September 1","""What's Love Got to Do with It""","Tina Turner",1984
"September 8","""What's Love Got to Do with It""","Tina Turner",1984
"September 15","""What's Love Got to Do with It""","Tina Turner",1984
"September 22","""Missing You""","John Waite",1984
"September 29","""Let's Go Crazy""","Prince and the Revolution",1984
"October 6","""Let's Go Crazy""","Prince and the Revolution",1984
"October 13","""I Just Called to Say I Love You""","Stevie Wonder",1984
"October 20","""I Just Called to Say I Love You""","Stevie Wonder",1984
"October 27","""I Just Called to Say I Love You""","Stevie Wonder",1984
"November 3","""Caribbean Queen (No More Love on the Run)""","Billy Ocean",1984
"November 10","""Caribbean Queen (No More Love on the Run)""","Billy Ocean",1984
"November 17","""Wake Me Up Before You Go-Go""","Wham!",1984
"November 24","""Wake Me Up Before You Go-Go""","Wham!",1984
"December 1","""Wake Me Up Before You Go-Go""","Wham!",1984
"December 8","""Out of Touch""","Daryl Hall and John Oates",1984
"December 15","""Out of Touch""","Daryl Hall and John Oates",1984
"December 22","""Like a Virgin""","Madonna",1984
"December 29","""Like a Virgin""","Madonna",1984
"January 5","""Like a Virgin""","Madonna",1985
"January 12","""Like a Virgin""","Madonna",1985
"January 19","""Like a Virgin""","Madonna",1985
"January 26","""Like a Virgin""","Madonna",1985
"February 2","""I Want to Know What Love Is""","Foreigner",1985
"February 9","""I Want to Know What Love Is""","Foreigner",1985
"February 16","""Careless Whisper""","Wham! featuring George Michael",1985
"February 23","""Careless Whisper""","Wham! featuring George Michael",1985
"March 2","""Careless Whisper""","Wham! featuring George Michael",1985
"March 9","""Can't Fight This Feeling""","REO Speedwagon",1985
"March 16","""Can't Fight This Feeling""","REO Speedwagon",1985
"March 23","""Can't Fight This Feeling""","REO Speedwagon",1985
"March 30","""One More Night""","Phil Collins",1985
"April 6","""One More Night""","Phil Collins",1985
"April 13","""We Are the World""","USA for Africa",1985
"April 20","""We Are the World""","USA for Africa",1985
"April 27","""We Are the World""","USA for Africa",1985
"May 4","""We Are the World""","USA for Africa",1985
"May 11","""Crazy for You""","Madonna",1985
"May 18","""Don't You (Forget About Me)""","Simple Minds",1985
"May 25","""Everything She Wants""","Wham!",1985
"June 1","""Everything She Wants""","Wham!",1985
"June 8","""Everybody Wants to Rule the World""","Tears for Fears",1985
"June 15","""Everybody Wants to Rule the World""","Tears for Fears",1985
"June 22","""Heaven""","Bryan Adams",1985
"June 29","""Heaven""","Bryan Adams",1985
"July 6","""Sussudio""","Phil Collins",1985
"July 13","""A View to a Kill""","Duran Duran",1985
"July 20","""A View to a Kill""","Duran Duran",1985
"July 27","""Everytime You Go Away""","Paul Young",1985
"August 3","""Shout""","Tears for Fears",1985
"August 10","""Shout""","Tears for Fears",1985
"August 17","""Shout""","Tears for Fears",1985
"August 24","""The Power of Love""","Huey Lewis and the News",1985
"August 31","""The Power of Love""","Huey Lewis and the News",1985
"September 7","""St. Elmo's Fire (Man in Motion)""","John Parr",1985
"September 14","""St. Elmo's Fire (Man in Motion)""","John Parr",1985
"September 21","""Money for Nothing""","Dire Straits",1985
"September 28","""Money for Nothing""","Dire Straits",1985
"October 5","""Money for Nothing""","Dire Straits",1985
"October 12","""Oh Sheila""","Ready for the World",1985
"October 19","""Take on Me""","A-ha",1985
"October 26","""Saving All My Love for You""","Whitney Houston",1985
"November 2","""Part-Time Lover""","Stevie Wonder",1985
"November 9","""Miami Vice Theme""","Jan Hammer",1985
"November 16","""We Built This City""","Starship",1985
"November 23","""We Built This City""","Starship",1985
"November 30","""Separate Lives""","Phil Collins and Marilyn Martin",1985
"December 7","""Broken Wings""","Mr. Mister",1985
"December 14","""Broken Wings""","Mr. Mister",1985
"December 21","""Say You, Say Me""","Lionel Richie",1985
"December 28","""Say You, Say Me""","Lionel Richie",1985
"January 4","""Say You, Say Me""","Lionel Richie",1986
"January 11","""Say You, Say Me""","Lionel Richie",1986
"January 18","""That's What Friends Are For""","Dionne and Friends",1986
"January 25","""That's What Friends Are For""","Dionne and Friends",1986
"February 1","""That's What Friends Are For""","Dionne and Friends",1986
"February 8","""That's What Friends Are For""","Dionne and Friends",1986
"February 15","""How Will I Know""","Whitney Houston",1986
"February 22","""How Will I Know""","Whitney Houston",1986
"March 1","""Kyrie""","Mr. Mister",1986
"March 8","""Kyrie""","Mr. Mister",1986
"March 15","""Sara""","Starship",1986
"March 22","""These Dreams""","Heart",1986
"March 29","""Rock Me Amadeus""","Falco",1986
"April 5","""Rock Me Amadeus""","Falco",1986
"April 12","""Rock Me Amadeus""","Falco",1986
"April 19","""Kiss""","Prince and the Revolution",1986
"April 26","""Kiss""","Prince and the Revolution",1986
"May 3","""Addicted to Love""","Robert Palmer",1986
"May 10","""West End Girls""","Pet Shop Boys",1986
"May 17","""Greatest Love of All""","Whitney Houston",1986
"May 24","""Greatest Love of All""","Whitney Houston",1986
"May 31","""Greatest Love of All""","Whitney Houston",1986
"June 7","""Live to Tell""","Madonna",1986
"June 14","""On My Own""","Patti LaBelle and Michael McDonald",1986
"June 21","""On My Own""","Patti LaBelle and Michael McDonald",1986
"June 28","""On My Own""","Patti LaBelle and Michael McDonald",1986
"July 5","""There'll Be Sad Songs (To Make You Cry)""","Billy Ocean",1986
"July 12","""Holding Back the Years""","Simply Red",1986
"July 19","""Invisible Touch""","Genesis",1986
"July 26","""Sledgehammer""","Peter Gabriel",1986
"August 2","""Glory of Love""","Peter Cetera",1986
"August 9","""Glory of Love""","Peter Cetera",1986
"August 16","""Papa Don't Preach""","Madonna",1986
"August 23","""Papa Don't Preach""","Madonna",1986
"August 30","""Higher Love""","Steve Winwood",1986
"September 6","""Venus""","Bananarama",1986
"September 13","""Take My Breath Away""","Berlin",1986
"September 20","""Stuck with You""","Huey Lewis and the News",1986
"September 27","""Stuck with You""","Huey Lewis and the News",1986
"October 4","""Stuck with You""","Huey Lewis and the News",1986
"October 11","""When I Think of You""","Janet Jackson",1986
"October 18","""When I Think of You""","Janet Jackson",1986
"October 25","""True Colors""","Cyndi Lauper",1986
"November 1","""True Colors""","Cyndi Lauper",1986
"November 8","""Amanda""","Boston",1986
"November 15","""Amanda""","Boston",1986
"November 22","""Human""","The Human League",1986
"November 29","""You Give Love a Bad Name""","Bon Jovi",1986
"December 6","""The Next Time I Fall""","Peter Cetera and Amy Grant",1986
"December 13","""The Way It Is""","Bruce Hornsby & the Range",1986
"December 20","""Walk Like an Egyptian""","The Bangles",1986
"December 27","""Walk Like an Egyptian""","The Bangles",1986
"January 3","""Walk Like an Egyptian""","The Bangles",1987
"January 10","""Walk Like an Egyptian""","The Bangles",1987
"January 17","""Shake You Down""","Gregory Abbott",1987
"January 24","""At This Moment""","Billy Vera and the Beaters",1987
"January 31","""At This Moment""","Billy Vera and the Beaters",1987
"February 7","""Open Your Heart""","Madonna",1987
"February 14","""Livin' on a Prayer""","Bon Jovi",1987
"February 21","""Livin' on a Prayer""","Bon Jovi",1987
"February 28","""Livin' on a Prayer""","Bon Jovi",1987
"March 7","""Livin' on a Prayer""","Bon Jovi",1987
"March 14","""Jacob's Ladder""","Huey Lewis and the News",1987
"March 21","""Lean on Me""","Club Nouveau",1987
"March 28","""Lean on Me""","Club Nouveau",1987
"April 4","""Nothing's Gonna Stop Us Now""","Starship",1987
"April 11","""Nothing's Gonna Stop Us Now""","Starship",1987
"April 18","""I Knew You Were Waiting (For Me)""","Aretha Franklin and George Michael",1987
"April 25","""I Knew You Were Waiting (For Me)""","Aretha Franklin and George Michael",1987
"May 2","""(I Just) Died in Your Arms""","Cutting Crew",1987
"May 9","""(I Just) Died in Your Arms""","Cutting Crew",1987
"May 16","""With or Without You""","U2",1987
"May 23","""With or Without You""","U2",1987
"May 30","""With or Without You""","U2",1987
"June 6","""You Keep Me Hangin' On""","Kim Wilde",1987
"June 13","""Always""","Atlantic Starr",1987
"June 20","""Head to Toe""","Lisa Lisa and Cult Jam",1987
"June 27","""I Wanna Dance with Somebody (Who Loves Me)""","Whitney Houston",1987
"July 4","""I Wanna Dance with Somebody (Who Loves Me)""","Whitney Houston",1987
"July 11","""Alone""","Heart",1987
"July 18","""Alone""","Heart",1987
"July 25","""Alone""","Heart",1987
"August 1","""Shakedown""","Bob Seger",1987
"August 8","""I Still Haven't Found What I'm Looking For""","U2",1987
"August 15","""I Still Haven't Found What I'm Looking For""","U2",1987
"August 22","""Who's That Girl""","Madonna",1987
"August 29","""La Bamba""","Los Lobos",1987
"September 5","""La Bamba""","Los Lobos",1987
"September 12","""La Bamba""","Los Lobos",1987
"September 19","""I Just Can't Stop Loving You""","Michael Jackson with Siedah Garrett",1987
"September 26","""Didn't We Almost Have It All""","Whitney Houston",1987
"October 3","""Didn't We Almost Have It All""","Whitney Houston",1987
"October 10","""Here I Go Again""","Whitesnake",1987
"October 17","""Lost in Emotion""","Lisa Lisa and Cult Jam",1987
"October 24","""Bad""","Michael Jackson",1987
"October 31","""Bad""","Michael Jackson",1987
"November 7","""I Think We're Alone Now""","Tiffany",1987
"November 14","""I Think We're Alone Now""","Tiffany",1987
"November 21","""Mony Mony""","Billy Idol",1987
"November 28","""(I've Had) The Time of My Life""","Bill Medley and Jennifer Warnes",1987
"December 5","""Heaven Is a Place on Earth""","Belinda Carlisle",1987
"December 12","""Faith""","George Michael",1987
"December 19","""Faith""","George Michael",1987
"December 26","""Faith""","George Michael",1987
"January 2","""Faith""","George Michael",1988
"January 9","""So Emotional""","Whitney Houston",1988
"January 16","""Got My Mind Set on You""","George Harrison",1988
"January 23","""The Way You Make Me Feel""","Michael Jackson",1988
"January 30","""Need You Tonight""","INXS",1988
"February 6","""Could've Been""","Tiffany",1988
"February 13","""Could've Been""","Tiffany",1988
"February 20","""Seasons Change""","Exposé",1988
"February 27","""Father Figure""","George Michael",1988
"March 5","""Father Figure""","George Michael",1988
"March 12","""Never Gonna Give You Up""","Rick Astley",1988
"March 19","""Never Gonna Give You Up""","Rick Astley",1988
"March 26","""Man in the Mirror""","Michael Jackson",1988
"April 2","""Man in the Mirror""","Michael Jackson",1988
"April 9","""Get Outta My Dreams, Get into My Car""","Billy Ocean",1988
"April 16","""Get Outta My Dreams, Get into My Car""","Billy Ocean",1988
"April 23","""Where Do Broken Hearts Go""","Whitney Houston",1988
"April 30","""Where Do Broken Hearts Go""","Whitney Houston",1988
"May 7","""Wishing Well""","Terence Trent D'Arby",1988
"May 14","""Anything for You""","Gloria Estefan and Miami Sound Machine",1988
"May 21","""Anything for You""","Gloria Estefan and Miami Sound Machine",1988
"May 28","""One More Try""","George Michael",1988
"June 4","""One More Try""","George Michael",1988
"June 11","""One More Try""","George Michael",1988
"June 18","""Together Forever""","Rick Astley",1988
"June 25","""Foolish Beat""","Debbie Gibson",1988
"July 2","""Dirty Diana""","Michael Jackson",1988
"July 9","""The Flame""","Cheap Trick",1988
"July 16","""The Flame""","Cheap Trick",1988
"July 23","""Hold On to the Nights""","Richard Marx",1988
"July 30","""Roll With It""","Steve Winwood",1988
"August 6","""Roll With It""","Steve Winwood",1988
"August 13","""Roll With It""","Steve Winwood",1988
"August 20","""Roll With It""","Steve Winwood",1988
